text,label
"Jokic's assist-to-turnover ratio this playoffs is 4.8:1, the best of any center in postseason history.",analysis
"The Celtics' net rating in clutch situations this season is +9.2 — statistically the best in the league.",analysis
"LeBron's usage rate drops by an average of 4.2% in Game 7s compared to earlier playoff rounds, per Basketball-Reference.",analysis
"Giannis has the highest true shooting percentage among forwards with 20+ playoff games since 2018.",analysis
"The Warriors' pace drops to bottom-5 in the league when Draymond plays fewer than 30 minutes — he controls their tempo more than Steph.",analysis
"According to synergy data, the Nuggets score 1.18 PPP on pick-and-roll plays with Jokic as the ball handler — top 1% league-wide.",analysis
"Tatum's shot distribution shows 38% pull-up jumpers — the highest of any wing in the East playoffs.",analysis
"The Bucks have allowed 114.3 points per 100 possessions in the 4th quarter this season, ranking 28th defensively.",analysis
"Luka's step-back 3 has a 41.2% conversion rate this season, which is elite for a shot that requires that degree of difficulty.",analysis
"KD's efficiency in isolation (1.06 PPP) actually exceeds his efficiency in catch-and-shoot scenarios (0.98 PPP) — he's better as a creator than a spot-up shooter.",analysis
"Looking at the last 10 NBA Finals, teams with a top-5 defense have won 8 of them — defense still wins championships.",analysis
"Zion's per-36 numbers are essentially identical to prime Shaq — but his injury rate means we'll never see a full season of that.",analysis
"The Heat's defensive scheme relies on forcing teams to the right side — their opponents' right-side shot percentage drops by 6 points against Miami.",analysis
"Damian Lillard's fourth-quarter scoring average in elimination games (9.3 ppg) is the highest of any active player.",analysis
"When the Lakers play small-ball lineups, their defensive rating drops by 7.4 points per 100 possessions — they can't hide weak defenders.",analysis
"Ja Morant's paint scoring efficiency (64.2 FG%) at the rim is second only to Giannis among guards and forwards under 25.",analysis
"The Sixers' half-court offense ranks 4th in the league, but their transition offense ranks 22nd — they're a stylistically slow team.",analysis
"Anthony Edwards has improved his 3-point percentage by 6 points each of his first three seasons — his trajectory mirrors Steph's early development.",analysis
"Per Second Spectrum tracking, Joker averages 4.1 secondary assists per game — passes that lead to assists — the highest in the league.",analysis
"The Knicks' rebounding rate improves by 9% when Randle plays the 5 versus the 4, per lineup data.",analysis
"Chris Paul's pick-and-roll defense grade this season is elite — he ranks in the 94th percentile for guards, per Synergy.",analysis
"The Suns score 118 PPP in transition but drop to 103 in half-court sets — they need pace to be effective.",analysis
